Week Date,Gas Price,KWH
6/17/2019,3.749,2.023
6/24/2019,3.683,1.942
07/01/2019,3.695,1.914
07/08/2019,3.701,1.921
07/15/2019,3.679,1.894
08/05/2019,3.612,1.872
08/12/2019,3.56,2.018
08/19/2019,3.535,2.236
09/09/2019,3.57,2.137
09/30/2019,4.034,2.039
10/21/2019,4.106,2.034
11/11/2019,3.999,1.999
11/18/2019,3.918,1.913
12/16/2019,3.588,2.021
02/10/2020,3.449,1.916
03/16/2020,3.298,1.781
03/23/2020,3.142,1.802
07/20/2020,3.11,1.853
07/27/2020,3.132,1.76
08/17/2020,3.15,1.854
08/24/2020,3.175,1.85
08/31/2020,3.184,1.584
09/07/2020,3.188,1.683
09/28/2020,3.155,1.757
10/05/2020,3.145,1.684
10/19/2020,3.132,1.74
10/26/2020,3.134,1.742
11/2/2020,3.118,1.755
11/9/2020,3.114,1.868
11/16/2020,3.114,1.838
11/23/2020,3.112,1.901
12/7/2020,3.127,2.113
12/14/2020,3.126,1.955