"DateTime","2600 - Regeneration rate","2601 - Regeneration rate","2602 - Regeneration rate","2603 - Regeneration rate","2604 - Regeneration rate","2605 - Regeneration rate","2606 - Regeneration rate","2607 - Regeneration rate","2608 - Regeneration rate","2609 - Regeneration rate","2610 - Regeneration rate","2611 - Regeneration rate","2612 - Regeneration rate","2613 - Regeneration rate"
"2022-10-06 00:00:00",,,28.922945120924027,,,,,41.129950153622055,,28.905726096220125,,,33.25935026954832,24.665428787816744
"2022-10-07 00:00:00",,,26.354895727423173,30.926540559211535,,,,26.260577412945395,,31.44108200014633,,,26.919193692385964,29.805878262872092
"2022-10-10 00:00:00",,,,25.67068359977189,,,,31.222194098455354,17.242495702154194,23.96448934680491,,,,31.26110857006167
"2022-10-11 00:00:00",,,31.504385852776856,27.50539274096883,,,,28.624137993600378,21.483636566357685,30.684762761592065
"2022-10-12 00:00:00",,,25.73265320121343,12.091183333160618,,,26.23452558750251,31.123841356319176,29.739058717337365,22.910126664910475,23.51228563542546,,28.283092310953585
"2022-10-13 00:00:00",,,,,,,30.310679317107542,32.17303600137814,,28.541534760669602,,,32.370367095021614,31.590865054478478
"2022-10-14 00:00:00",,,13.368228021752977,31.984025989809417,,,32.32877046056907,31.950976818686318,,33.837784859968856,,27.23368615469481,32.60989694775437,32.70572764887097
"2022-10-17 00:00:00",,,,,,23.11404904927692,31.63599534513067,32.59877810913587,29.170016255427022,29.105311932946424,30.319518338491104,32.40435869230719,30.22782884747689,29.62144350353916
"2022-10-18 00:00:00",,,26.21785431814291,30.505126175558374,,,30.826658824114073,30.023336197160383,26.442263685513357,28.375602159136353,,28.05026157587602,30.683672150232134,27.79509103581815
"2022-10-19 00:00:00",,,23.862095660783808,25.194690450545508,,,28.073259442668462,29.23101694857111,,27.825705975995458,,32.2277819829463,29.64282637396407,27.230913174629446
"2022-10-20 00:00:00",,,24.021023388011148,29.797447532903696,,,28.088068414537133,18.121125401730364,32.65036025299986,31.111491486172895,,,32.796235166402596,25.490285571636168
"2022-10-21 00:00:00",,,,,,,26.375430331193154,32.30719362267093,23.811896417239534,24.107901746038422,,28.514096870342737,31.907232709038176,29.588670597531223
"2022-10-24 00:00:00",,,,,,,29.330960538816676,33.66485776658417,45.08875180112521,26.260237773637922,,32.76463463489229,,29.80112076791288
"2022-10-25 00:00:00",,28.50057002027553,,28.627615304760955,,,28.47974622499974,,22.595288306827552,30.928152433092748,25.018589178971318,33.406048651398216,,32.36837955795656
"2022-10-26 00:00:00",,27.427808712185897,,27.844914861787746,,,33.537712137754596,34.215072424229085,10.78048581468384,32.346564798444035,30.562719393004283,,31.394997880110193,31.487026854569244
"2022-10-27 00:00:00",,22.324473474832573,,27.816603548179675,,,28.04221818028835,32.84756849798379,27.00781576330239,33.07767293292089,33.944037176773925,,33.61584623682165,28.689949479504325
"2022-10-28 00:00:00",,21.928499839980617,,23.598707538482117,,,30.85547350379056,,,35.28373723035555,,,32.88221067575219,30.741105713492995
"2022-10-31 00:00:00",,,,,,,23.714065967501,31.62027092312113,,30.79937902655664,,,30.76291053773048,32.74818033234467
"2022-11-01 00:00:00",,28.309460535859166,28.823738473330256,27.675325812331756,,,32.52674809747237,,24.398018616688226,31.957477420868337,,,30.8406352305567,31.368082550335103
"2022-11-02 00:00:00",,28.621816911394145,32.62040914290476,24.139253649596384,,,29.20622398650652,31.736629355701478,,30.999138432138658,,,34.31641707833659,28.03585270705452
"2022-11-03 00:00:00",,24.227189667168588,26.78771839590373,30.220447086229218,,,32.72280098439255,34.48164407245994,,32.62236564382685,,,33.7988979533798,30.37147874175886
"2022-11-04 00:00:00",,32.02875441256534,33.13585827761694,,,,29.601423265033215,,,23.617488522686205,,,29.47063153019012,30.50892092356715